supplier_name,categories_supplied,active_products,total_products,avg_turnover_rate,low_stock_count,total_sales_volume,supply_reliability_score,supplier_cluster_id,supplier_tier,gold_processed_at
Trudeo,2,0,2,60.5,2,125,23.88,1,At-Risk Supplier,2026-05-16 06:12:46
Zoombeat,1,1,1,67.0,1,90,23.84,1,At-Risk Supplier,2026-05-16 06:12:46
Youfeed,2,1,3,31.0,2,108,23.76,1,At-Risk Supplier,2026-05-16 06:12:46
Zooxo,2,0,2,58.0,2,133,23.58,1,At-Risk Supplier,2026-05-16 06:12:46
Roodel,2,0,2,18.5,1,81,23.31,1,At-Risk Supplier,2026-05-16 06:12:46
Realfire,1,0,1,63.0,1,100,23.19,1,At-Risk Supplier,2026-05-16 06:12:46
Browseblab,2,1,2,59.0,2,121,23.18,1,At-Risk Supplier,2026-05-16 06:12:46
Gabspot,1,0,2,14.5,1,99,23.13,1,At-Risk Supplier,2026-05-16 06:12:46
Kwinu,1,0,1,77.0,1,24,23.06,1,At-Risk Supplier,2026-05-16 06:12:46
Mynte,1,1,2,50.5,2,161,22.9,1,At-Risk Supplier,2026-05-16 06:12:46
Feedbug,2,0,2,64.0,2,89,22.85,1,At-Risk Supplier,2026-05-16 06:12:46
BlogXS,4,1,5,33.8,5,228,21.67,0,Top Supplier,2026-05-16 06:12:46
Jayo,2,1,3,40.33,3,190,21.46,0,Top Supplier,2026-05-16 06:12:46
Yakidoo,1,0,1,69.0,1,31,21.0,1,At-Risk Supplier,2026-05-16 06:12:46
Twitternation,1,0,2,11.0,1,74,20.58,1,At-Risk Supplier,2026-05-16 06:12:46
Dazzlesphere,3,1,4,41.5,4,166,20.41,0,Top Supplier,2026-05-16 06:12:46
Leenti,1,0,1,68.0,1,26,20.4,1,At-Risk Supplier,2026-05-16 06:12:46
Wikizz,1,1,2,49.0,2,121,20.09,1,At-Risk Supplier,2026-05-16 06:12:46
Feedmix,2,0,2,42.5,2,140,19.2,1,At-Risk Supplier,2026-05-16 06:12:46
Divanoodle,1,0,1,53.0,1,78,18.81,1,At-Risk Supplier,2026-05-16 06:12:46
Oyoba,1,0,1,51.0,1,69,17.66,1,At-Risk Supplier,2026-05-16 06:12:46
Tagchat,2,1,2,43.0,2,97,16.83,1,At-Risk Supplier,2026-05-16 06:12:46
Vipe,2,0,2,46.0,2,74,16.41,1,At-Risk Supplier,2026-05-16 06:12:46
Rhybox,1,0,1,54.0,1,29,16.24,1,At-Risk Supplier,2026-05-16 06:12:46
Yombu,3,0,3,22.67,3,190,16.0,0,Top Supplier,2026-05-16 06:12:46
Tagcat,1,0,2,35.0,2,124,15.94,1,At-Risk Supplier,2026-05-16 06:12:46
Voonyx,1,0,1,42.0,1,66,14.7,1,At-Risk Supplier,2026-05-16 06:12:46
Jabbercube,2,1,2,27.5,2,137,14.38,1,At-Risk Supplier,2026-05-16 06:12:46
Edgeclub,1,1,1,41.0,1,51,13.51,1,At-Risk Supplier,2026-05-16 06:12:46
Demizz,1,0,1,41.0,1,31,12.34,1,At-Risk Supplier,2026-05-16 06:12:46
Skiba,1,1,1,32.0,1,76,12.19,1,At-Risk Supplier,2026-05-16 06:12:46
Brightdog,2,1,2,27.0,2,97,11.88,1,At-Risk Supplier,2026-05-16 06:12:46
Feedspan,1,1,1,35.0,1,47,11.42,1,At-Risk Supplier,2026-05-16 06:12:46
Gevee,3,1,3,15.0,3,146,11.04,0,Top Supplier,2026-05-16 06:12:46
Photojam,1,0,1,32.0,1,42,10.2,1,At-Risk Supplier,2026-05-16 06:12:46
Twitterlist,1,0,1,34.0,1,29,10.06,1,At-Risk Supplier,2026-05-16 06:12:46
Wordware,2,1,2,19.0,2,95,9.29,1,At-Risk Supplier,2026-05-16 06:12:46
Brainsphere,1,0,1,25.0,1,61,9.15,1,At-Risk Supplier,2026-05-16 06:12:46
Yoveo,1,0,1,23.0,1,63,8.65,1,At-Risk Supplier,2026-05-16 06:12:46
Vinte,2,1,2,19.0,2,82,8.53,1,At-Risk Supplier,2026-05-16 06:12:46
Eamia,1,0,1,29.0,1,21,8.04,1,At-Risk Supplier,2026-05-16 06:12:46
Skajo,2,0,2,17.5,2,68,7.24,1,At-Risk Supplier,2026-05-16 06:12:46
Eadel,2,0,2,12.0,2,83,6.42,1,At-Risk Supplier,2026-05-16 06:12:46
Topiczoom,1,0,1,10.0,1,87,6.04,1,At-Risk Supplier,2026-05-16 06:12:46
Zoomlounge,1,0,1,14.0,1,58,5.57,1,At-Risk Supplier,2026-05-16 06:12:46
Teklist,1,1,1,16.0,1,37,4.96,1,At-Risk Supplier,2026-05-16 06:12:46
Innotype,1,1,1,17.0,1,23,4.45,1,At-Risk Supplier,2026-05-16 06:12:46
Skyvu,1,1,1,4.0,1,84,4.0,1,At-Risk Supplier,2026-05-16 06:12:46
Twinte,1,1,1,3.0,1,34,0.76,1,At-Risk Supplier,2026-05-16 06:12:46
